﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Vinga A;71380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;min, 1 gång per dygn;celsius
Lufttemperatur;max, 1 gång per dygn;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1927-04-01 00:00:00;1997-11-30 23:59:59;19.0;57.6322;11.6061
2007-06-01 00:00:00;2026-04-30 23:59:59;18.205;57.6322;11.6048

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2007-05-31 18:00:01;2007-06-01 18:00:00;2007-06-01;10.3;G;16.9;G
2007-06-01 18:00:01;2007-06-02 18:00:00;2007-06-02;10.0;G;20.1;G
2007-06-02 18:00:01;2007-06-03 18:00:00;2007-06-03;10.5;G;19.9;G
2007-06-03 18:00:01;2007-06-04 18:00:00;2007-06-04;14.0;Y;20.5;Y
2007-06-04 18:00:01;2007-06-05 18:00:00;2007-06-05;16.1;G;20.3;G
2007-06-05 18:00:01;2007-06-06 18:00:00;2007-06-06;16.2;G;23.5;G
2007-06-06 18:00:01;2007-06-07 18:00:00;2007-06-07;16.9;G;24.3;G
2007-06-07 18:00:01;2007-06-08 18:00:00;2007-06-08;17.1;G;22.1;G
2007-06-08 18:00:01;2007-06-09 18:00:00;2007-06-09;18.1;G;24.0;G
2007-06-09 18:00:01;2007-06-10 18:00:00;2007-06-10;19.1;G;24.5;G
2007-06-10 18:00:01;2007-06-11 18:00:00;2007-06-11;20.4;G;25.1;G
2007-06-11 18:00:01;2007-06-12 18:00:00;2007-06-12;17.7;G;22.8;G
2007-06-12 18:00:01;2007-06-13 18:00:00;2007-06-13;13.3;G;18.9;G
2007-06-13 18:00:01;2007-06-14 18:00:00;2007-06-14;11.9;G;15.1;G
2007-06-14 18:00:01;2007-06-15 18:00:00;2007-06-15;12.1;G;21.9;G
2007-06-15 18:00:01;2007-06-16 18:00:00;2007-06-16;12.9;G;18.7;G
