﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Vinga A;71380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;min, 1 gång per dygn;celsius
Lufttemperatur;max, 1 gång per dygn;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1927-04-01 00:00:00;1997-11-30 23:59:59;19.0;57.6322;11.6061
2007-06-01 00:00:00;2026-04-30 23:59:59;18.205;57.6322;11.6048

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1996-04-01 18:00:01;1996-04-02 18:00:00;1996-04-02;-4.0;G;2.0;G
1996-04-02 18:00:01;1996-04-03 18:00:00;1996-04-03;1.0;G;4.4;G
1996-04-03 18:00:01;1996-04-04 18:00:00;1996-04-04;2.0;G;4.0;G
1996-04-04 18:00:01;1996-04-05 18:00:00;1996-04-05;0.8;G;3.4;G
1996-04-05 18:00:01;1996-04-06 18:00:00;1996-04-06;0.2;G;9.1;G
1996-04-06 18:00:01;1996-04-07 18:00:00;1996-04-07;4.9;G;12.0;G
1996-04-07 18:00:01;1996-04-08 18:00:00;1996-04-08;5.3;G;9.5;G
1996-04-08 18:00:01;1996-04-09 18:00:00;1996-04-09;3.0;G;8.0;G
1996-04-09 18:00:01;1996-04-10 18:00:00;1996-04-10;2.0;G;9.5;G
1996-04-10 18:00:01;1996-04-11 18:00:00;1996-04-11;-4.5;G;7.0;G
1996-04-11 18:00:01;1996-04-12 18:00:00;1996-04-12;-3.7;G;4.1;G
1996-04-12 18:00:01;1996-04-13 18:00:00;1996-04-13;-0.4;G;7.8;G
1996-04-13 18:00:01;1996-04-14 18:00:00;1996-04-14;2.0;G;7.0;G
1996-04-14 18:00:01;1996-04-15 18:00:00;1996-04-15;3.7;G;6.3;G
1996-04-15 18:00:01;1996-04-16 18:00:00;1996-04-16;4.7;G;7.7;G
1996-04-16 18:00:01;1996-04-17 18:00:00;1996-04-17;4.7;G;7.4;G
1996-04-17 18:00:01;1996-04-18 18:00:00;1996-04-18;5.0;G;8.5;G
1996-04-18 18:00:01;1996-04-19 18:00:00;1996-04-19;6.4;G;7.6;G
1996-04-19 18:00:01;1996-04-20 18:00:00;1996-04-20;6.4;G;11.3;G
1996-04-20 18:00:01;1996-04-21 18:00:00;1996-04-21;7.1;G;12.0;G
1996-04-21 18:00:01;1996-04-22 18:00:00;1996-04-22;7.2;G;13.2;G
1996-04-22 18:00:01;1996-04-23 18:00:00;1996-04-23;10.3;G;14.8;G
1996-04-23 18:00:01;1996-04-24 18:00:00;1996-04-24;6.2;G;12.0;G
1996-04-24 18:00:01;1996-04-25 18:00:00;1996-04-25;5.9;G;8.4;G
1996-04-25 18:00:01;1996-04-26 18:00:00;1996-04-26;5.6;G;8.4;G
1996-04-26 18:00:01;1996-04-27 18:00:00;1996-04-27;0.7;G;8.0;G
1996-04-27 18:00:01;1996-04-28 18:00:00;1996-04-28;6.0;G;8.7;G
1996-04-28 18:00:01;1996-04-29 18:00:00;1996-04-29;4.8;G;7.3;G
1996-04-29 18:00:01;1996-04-30 18:00:00;1996-04-30;4.5;G;7.5;G
1996-04-30 18:00:01;1996-05-01 18:00:00;1996-05-01;5.2;G;9.0;G
1996-05-01 18:00:01;1996-05-02 18:00:00;1996-05-02;7.0;G;11.6;G
1996-05-02 18:00:01;1996-05-03 18:00:00;1996-05-03;7.2;G;11.3;G
1996-05-03 18:00:01;1996-05-04 18:00:00;1996-05-04;6.5;G;9.0;G
1996-05-04 18:00:01;1996-05-05 18:00:00;1996-05-05;5.8;G;9.0;G
1996-05-05 18:00:01;1996-05-06 18:00:00;1996-05-06;4.8;G;7.2;G
1996-05-06 18:00:01;1996-05-07 18:00:00;1996-05-07;4.9;G;7.0;G
1996-05-07 18:00:01;1996-05-08 18:00:00;1996-05-08;4.9;G;10.6;G
1996-05-08 18:00:01;1996-05-09 18:00:00;1996-05-09;6.0;G;11.0;G
1996-05-09 18:00:01;1996-05-10 18:00:00;1996-05-10;4.0;G;10.8;G
1996-05-10 18:00:01;1996-05-11 18:00:00;1996-05-11;4.8;G;8.7;G
1996-05-11 18:00:01;1996-05-12 18:00:00;1996-05-12;6.6;G;19.8;G
1996-05-12 18:00:01;1996-05-13 18:00:00;1996-05-13;10.0;G;14.6;G
1996-05-13 18:00:01;1996-05-14 18:00:00;1996-05-14;9.0;G;16.4;G
1996-05-14 18:00:01;1996-05-15 18:00:00;1996-05-15;7.4;G;14.6;G
1996-05-15 18:00:01;1996-05-16 18:00:00;1996-05-16;5.4;G;8.5;G
1996-05-16 18:00:01;1996-05-17 18:00:00;1996-05-17;5.6;G;9.5;G
1996-05-17 18:00:01;1996-05-18 18:00:00;1996-05-18;3.7;G;7.4;G
1996-05-18 18:00:01;1996-05-19 18:00:00;1996-05-19;5.7;G;8.2;G
1996-05-19 18:00:01;1996-05-20 18:00:00;1996-05-20;4.4;G;7.3;G
